Cod_Nodo,Cod_Reporta_a_nodo,unidad,reporta_a,Cod_nodo2,EstructuraPrincipal,Gastos,RecursosHumanos,Jurisdiccion,Subjurisdiccion
A675,A589,"Subsecretaría de Gestión Administrativa de Innovación, Ciencia y Tecnología","Secretaría de Innovación, Ciencia y Tecnología",A675,1,0,0,,
A676,A576,Subsecretaría de Gestión Administrativa de Interior,Secretaría de Coordinación Legal y Administrativa de Interior,A676,1,0,0,,
A677,A617,"Subsecretaría de Gestión Administrativa de Niñez, Adolescencia y Familia","Secretaría Nacional de Niñez, Adolescencia y Familia",A677,1,0,0,,
A678,A615,Subsecretaría de Gestión Administrativa de Producción,Secretaría Legal y Administrativa,A678,1,0,0,,
A679,A608,"Subsecretaría de Gestión Administrativa de Trabajo, Empleo y Seguridad Social","Secretaría de Trabajo, Empleo y Seguridad Social",A679,1,0,0,,
A680,A611,"Subsecretaría de Gestión Administrativa de Turismo, Ambiente y Deportes","Secretaría de Turismo, Ambiente y Deportes",A680,1,0,0,Ministerio de Ambiente y Desarrollo Sostenible,Ministerio de Ambiente y Desarrollo Sostenible
A681,A614,Subsecretaría de Gestión Institucional,Secretaría General de la Presidencia de la Nación,A681,1,0,0,,
A682,A588,Subsecretaría de Gestión Productiva,Secretaría de Industria y Comercio,A682,1,0,0,,
A683,A579,Subsecretaría de Gestión y Desarrollo Cultural,Secretaría de Cultura,A683,1,0,0,,
A684,A581,Subsecretaría de Hábitat y Vivienda,"Secretaría de Desarrollo Territorial, Hábitat y Vivienda",A684,1,0,0,,
A685,A582,Subsecretaría de Información y Evaluación Educativa,Secretaría de Educación,A685,1,0,0,,
A686,A587,Subsecretaría de Ingresos Públicos,Secretaría de Hacienda,A686,1,0,0,,
A687,A589,Subsecretaría de Innovación,"Secretaría de Innovación, Ciencia y Tecnología",A687,1,0,0,Jefatura de Gabinete de Ministros,Secretaría de Innovación Pública
A688,A617,Subsecretaría de Innovación en Economía Solidaria,"Secretaría Nacional de Niñez, Adolescencia y Familia",A688,1,0,0,,
A689,A567,Subsecretaría de Institutos y Fiscalización,Secretaría de Calidad en Salud,A689,1,0,0,,
A690,A581,Subsecretaría de Integración Socio Urbana,"Secretaría de Desarrollo Territorial, Hábitat y Vivienda",A690,1,0,0,,
A691,A800,Subsecretaría de Interior,Vicejefatura de Gabinete del Interior,A691,1,0,0,Ministerio del Interior,Ministerio del Interior
A692,A606,Subsecretaría de Intervención Federal,Secretaría de Seguridad,A692,1,0,0,,
A693,A594,Subsecretaría de Investigación Criminal,Secretaría de Lucha contra el Narcotráfico y la Criminalidad Organizada,A693,1,0,0,,
A694,A593,Subsecretaría de la Pequeña y Mediana Empresa,"Secretaría de la Pequeña y Mediana Empresa, Emprendedores y Economía del Conocimiento",A694,1,0,0,,
A695,A594,Subsecretaría de Lucha contra el Narcotráfico,Secretaría de Lucha contra el Narcotráfico y la Criminalidad Organizada,A695,1,0,0,,
A696,A568,Subsecretaría de Medios Públicos,Secretaría de Comunicación y Medios,A696,1,0,0,,
A697,A563,Subsecretaría de Mercados Agroalimentarios e Inserción Internacional,"Secretaría de Agricultura, Ganadería y Pesca",A697,1,0,0,,
A698,A603,Subsecretaría de Negociaciones Económicas Internacionales e Integración,Secretaría de Relaciones Económicas Internacionales,A698,1,0,0,,
A699,A597,Subsecretaría de Obras y Servicios,Secretaría de Obras Públicas,A699,1,0,0,,
A700,A579,Subsecretaría de Patrimonio Cultural,Secretaría de Cultura,A700,1,0,0,,
A701,A584,Subsecretaría de Planeamiento Estratégico y Política Militar,Secretaría de Estrategia y Asuntos Militares,A701,1,0,0,,
A702,A598,Subsecretaría de Planeamiento Normativo,Secretaría de Planeamiento Estratégico Normativo,A702,1,0,0,,
A703,A532,Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa,Ministerio de Defensa,A703,1,0,0,,
A704,A532,Subsecretaría de Planeamiento y Coordinación Ejecutiva en Emergencias,Ministerio de Defensa,A704,1,0,0,,
A705,A614,Subsecretaría de Planificación General,Secretaría General de la Presidencia de la Nación,A705,1,0,0,,
A706,A562,Subsecretaría de Planificación y Programación Sanitaria,Secretaría de Acceso y Equidad en Salud,A706,1,0,0,,
A707,A592,Subsecretaría de Política Criminal,Secretaría de Justicia,A707,1,0,0,,
A708,A604,Subsecretaría de Política Exterior,Secretaría de Relaciones Exteriores,A708,1,0,0,,
A709,A588,Subsecretaría de Política Industrial,Secretaría de Industria y Comercio,A709,1,0,0,,
A710,A596,Subsecretaría de Política Minera,Secretaría de Minería,A710,1,0,0,,
A711,A582,Subsecretaría de Políticas e Innovación Educativa,Secretaría de Educación,A711,1,0,0,,
A712,A617,Subsecretaría de Políticas Familiares,"Secretaría Nacional de Niñez, Adolescencia y Familia",A712,1,0,0,,
A713,A617,Subsecretaría de Políticas Sociales,"Secretaría Nacional de Niñez, Adolescencia y Familia",A713,1,0,0,,
A714,A617,Subsecretaría de Políticas Territoriales y Desarrollo Humano,"Secretaría Nacional de Niñez, Adolescencia y Familia",A714,1,0,0,,
A715,A582,Subsecretaría de Políticas Universitarias,Secretaría de Educación,A715,1,0,0,,
A716,A601,Subsecretaría de Prensa de la Presidencia de la Nación,Secretaría de Prensa,A716,1,0,0,,
A717,A587,Subsecretaría de Presupuesto,Secretaría de Hacienda,A717,1,0,0,,
A718,A600,"Subsecretaría de Prevención, Investigación y Estadísticas en Materia de Drogas",Secretaría de Políticas Integrales sobre Drogas de la Nación Argentina,A718,1,0,0,,
A719,A563,Subsecretaría de Producción Agropecuaria y Forestal,"Secretaría de Agricultura, Ganadería y Pesca",A719,1,0,0,,
A720,A564,Subsecretaría de Programación Federal y Articulación Legislativa,Secretaría de Articulación Federal,A720,1,0,0,,
A721,A599,Subsecretaría de Programación Macroeconómica,Secretaría de Política Económica,A721,1,0,0,,
A722,A599,Subsecretaría de Programación Microeconómica,Secretaría de Política Económica,A722,1,0,0,,
A723,A579,Subsecretaría de Promoción Cultural y Artística,Secretaría de Cultura,A723,1,0,0,,
A724,A580,Subsecretaría de Promoción de Derechos Humanos,Secretaría de Derechos Humanos,A724,1,0,0,,
